"Α/Α"	"Κωδικός "	"Περιγραφή"	"Από "	"Σε "	"Κίνηση κλεισίματος εκκρεμοτήτων αποθήκης"	"Ανενεργό"
22	461. ΑΔΞ=>ΠΚΝ	Προϋπ/κή Κοστολόγηση Τιμολογίων-Δ.Π. Ενδοκοινοτικών Αγορών (ΕΝΤΟΣ ζώνης € - Αναλυτικά)	ΑΔΞ	ΠΚΝ		0
23	466. ΑΤΞ=>ΠΚΔ	Προϋπ/κή Κοστολόγηση Τιμολογίων Εισαγωγών από ΤΡΙΤΕΣ Χώρες (Αναλυτικά)	ΑΤΞ	ΠΚΔ		0
24	465. ΑΔΞ=>ΠΚΔ	Προϋπ/κή Κοστολόγηση Τιμολογίων-Δ.Π. Εισαγωγών απί ΤΡΙΤΕΣ Χώρες (Αναλυτικά)	ΑΔΞ	ΠΚΔ		0
25	464. ΑΤΞ=>ΠΚΛ	Προϋπ/κή Κοστολόγηση Τιμολογίων Ενδοκοινοτικών Αγορών (ΕΚΤΟΣ ζώνης € - Αναλυτικά)	ΑΤΞ	ΠΚΛ		0
26	463. ΑΔΞ=>ΠΚΛ	Προϋπ/κή Κοστολόγηση Τιμολογίων-Δ.Π. Ενδοκοινοτικών Αγορών (ΕΚΤΟΣ ζώνης € - Αναλυτικά)	ΑΔΞ	ΠΚΛ		0
27	426. ΔΚΚ=>ΔΚΑ	Ακύρωση οριστικού κλεισίματος Φακέλου (ΕΝΤΟΣ ζώνης €)	ΔΚΚ	ΔΚΑ		0
28	449. ΔΚΣ=>ΔΚΡ	Ακύρωση οριστικού κλεισίματος Φακέλου (ΕΚΤΟΣ ζώνης €)	ΔΚΣ	ΔΚΡ		0
29	427. ΔΚΤ=>ΔΚΧ	Ακύρωση οριστικού κλεισίματος Φακέλου (ΤΡΙΤΕΣ χώρες)	ΔΚΤ	ΔΚΧ		0
30	446. ΔΚΝ=>ΔΚΥ	Ακύρωση οριστικού κλεισίματος Φακέλου (ΕΝΤΟΣ ζώνης € - ΑΝΑΛΥΤΙΚΑ)	ΔΚΝ	ΔΚΥ		0
31	452. ΔΚΛ=>ΔΚΕ	Ακύρωση οριστικού κλεισίματος Φακέλου (ΕΚΤΟΣ ζώνης € - Αναλυτικά)	ΔΚΛ	ΔΚΕ		0
32	456. ΔΚΔ=>ΔΚΙ	Ακύρωση οριστικού κλεισίματος Φακέλου (από ΤΡΙΤΕΣ χώρες - Αναλυτικά)	ΔΚΔ	ΔΚΙ		0
33	428. ΠΚΚ=>ΠΚΥ	Ακύρωση προσωρινού κλεισίματος Φακέλου (ΕΝΤΟΣ ζώνης €)	ΠΚΚ	ΠΚΥ		0
34	429. ΠΚΣ=>ΠΚΡ	Ακύρωση προσωρινού κλεισίματος Φακέλου (ΕΚΤΟΣ ζώνης €)	ΠΚΣ	ΠΚΡ		0
35	430. ΠΚΤ=>ΠΚΧ	Ακύρωση προσωρινού κλεισίματος Φακέλου (ΤΡΙΤΕΣ Χώρες)	ΠΚΤ	ΠΚΧ		0
36	467. ΠΚΝ=>ΠΚΓ	Ακύρωση προσωρινού κλεισίματος Φακέλου (ΕΝΤΟΣ ζώνης € - Αναλυτικά)	ΠΚΝ	ΠΚΓ		0
